idDrink,strDrink,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
178310,Brooklyn,"Alcoholic,Sweet,DateNight,USA",,Cocktail,,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye Whiskey,2 oz,Dry Vermouth,1 oz,Maraschino Liqueur,1/4 oz,Angostura Bitters,3 dashes,Maraschino Cherry,1,,,,,,,,,,,,,,,,,,,,,,,Yes,
178356,Butterfly Effect,"Purple, Colourful",,Cocktail,,Alcoholic,Hurricane glass,"Grab your boston tin, fill it with cubes ice and then simply chuck in all your ingredients apart from your lemonade.
Now it’s time to shake what your mama gave you until all your ingredients are blended to perfection.
Add some cubes of ice to your hurricane glass, give them a swill to cool the whole thing down and then strain your raspberry vodka cocktail of wonder into the glass.
Top with lemonade and chuck a sprig of mint on top for garnish.
You can either get drinking at this point or go and try and grab a few butterflies to finish, the choice really is yours.",https://www.thecocktaildb.com/images/media/drink/ht3hnk1619704289.jpg,Raspberry Vodka,50 ml,Cranberry Juice,25 ml,Lemonade,25 ml,Blue Curacao,10 ml,Sugar Syrup,10 ml,Lime Juice,Dash,Mint,Sprig,,,,,,,,,,,,,,,,,https://www.instagram.com/p/COQGZOXBOG2/,,No,
178329,Captain Kidd's Punch,,,Cocktail,,Alcoholic,Collins glass,Mix all ingredients together in a shaker and strain into a collins glass. Use Caribbean dark Rum for a sweeter taste.,https://www.thecocktaildb.com/images/media/drink/d83spj1596017390.jpg,Rum,2 shots,Lime Juice,1 shot,Egg White,1 shot,Bitters,1 dash,Sugar,Ground,Nutmeg,Top,,,,,,,,,,,,,,,,,,,,,Yes,
17174,Cherry Electric Lemonade,,,Cocktail,,Alcoholic,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Gin,1 oz,Tequila,1 oz,Vodka,1 oz,White rum,1 oz,Triple Sec,1 oz,Cherry Grenadine,1 oz,Sweet and sour,1 oz,Club soda,3 oz,,,,,,,,,,,,,,,,,Yes,2015-12-28 10:45:48
178369,Cocktail Horse’s Neck,,,Cocktail,,Alcoholic,Highball glass,"Wash and brush an organic, untreated lemon, then cut a spiral of lemon peel, using a citrus peel. If it is too large, cut it with a sharp knife.

Put some ice in a tall tumbler glass, place the lemon peel inside and pour the cognac, add the ginger beer and let 2-3 drops of Angostura fall into it. Easy to do, but once you try it you'll love it.",https://www.thecocktaildb.com/images/media/drink/4vobt21643844913.jpg,Cognac,4 cl,Ginger Beer,100 ml,Angostura Bitters,3 drops,Lemon Peel,1,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0f/Horses_Neck.JPG,,No,
17830,Corn n Oil,,,Cocktail,,Alcoholic,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,Lime,1/2,Falernum,1/3 oz,Angostura Bitters,2 dashes,Añejo rum,1 oz,blackstrap rum,1 oz,,,,,,,,,,,,,,,,,,,,,,,No,2018-06-27 15:15:09
17250,Corpse Reviver,,,Cocktail,,Alcoholic,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,Gin,3/4 oz,Triple Sec,3/4 oz,Lillet Blanc,3/4 oz,Lemon Juice,3/4 oz,Absinthe,1 dash,,,,,,,,,,,,,,,,,,,,,,,No,2017-12-19 17:25:34
17196,Cosmopolitan,"IBA,ContemporaryClassic",,Cocktail,Contemporary Classics,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Vodka,1 1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 oz ,Cranberry juice,1/4 cup ,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-09-02 17:06:02
14133,Cosmopolitan Martini,,,Cocktail,,Alcoholic,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",https://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cointreau,1/2 oz ,Vodka,1 oz ,Lime,Juice of 1/2 ,Cranberry juice,1 splash ,,,,,,,,,,,,,,,,,,,,,,,,,No,2015-08-18 15:19:40
14608,Cream Soda,,,Cocktail,,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Spiced rum,1 oz ,Ginger ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-11-15 11:29:27
17177,Dark Caipirinha,,,Cocktail,,Alcoholic,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,demerara Sugar,2 tsp ,Lime,1,Cachaca,2 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2016-08-28 18:40:58
178334,Death in the Afternoon,Drunk,,Cocktail,,Alcoholic,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,Absinthe,2 shots,Champagne,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
17181,Dirty Martini,"IBA,NewEra",,Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Vodka,70ml/2fl oz,Dry Vermouth,1 tbsp,Olive Brine,2 tbsp,Lemon,1 wedge,Olive,1,,,,,,,,,,,,,,,,,,,,,,,No,2017-01-22 11:08:20
11005,Dry Martini,"IBA,Classic,Christmas,Alcoholic",,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Gin,1 2/3 oz ,Dry Vermouth,1/3 oz ,Olive,1 ,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11005,TheCocktailDB.com,Yes,2017-09-02 12:51:35
17182,Duchamp's Punch,,,Cocktail,,Alcoholic,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,Pisco,5 cl,Lime Juice,2.5 cl,Pineapple Syrup,2.5 cl,St. Germain,1.5 cl,Angostura Bitters,2 Dashes,Pepper,Pinch,Lavender,2 sprigs,,,,,,,,,,,,,,,,,,,No,2017-01-22 11:31:25
178346,Elderflower Caipirinha,Brazilian,,Cocktail,,Alcoholic,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,Cachaca,60 ml,Lime,1,Elderflower cordial,3 cl,,,,,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/p/CKpDNzFFKvl/,,No,
