idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
178335,Lazy Coconut Paloma,,"Lazy, Sharp",,Cocktail,Alcoholic,Highball glass,Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg,Coconut Liqueur,Grapefruit Juice,Soda Water,,,,,,,,,,,,,30 ml,75 ml,Top,,,,,,,,,,,,,,,No,
17204,Long Island Iced Tea,,"IBA,ContemporaryClassic",,Ordinary Drink,Alcoholic,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Vodka,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,,,,,,,,,No,2017-09-02 17:41:50
178360,Lemon Elderflower Spritzer,,"Summer, Fresh, Refreshing",,Cocktail,Alcoholic,Highball glass,"Pour all ingredients over ice, stir and enjoy!
",https://www.thecocktaildb.com/images/media/drink/125w0o1630407389.jpg,Elderflower cordial,Vodka,Soda Water,Fresh Lemon Juice,,,,,,,,,,,,2 tsp,1 shot,1/3 cup,Top,,,,,,,,,,,,https://www.instagram.com/p/CNLYC2_sdlk,,No,
12690,Lassi - A South Indian Drink,,,,Other / Unknown,Non alcoholic,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Yoghurt,Water,Cumin seed,Salt,Mint,,,,,,,,,,,1/2 cup plain ,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried ,,,,,,,,,,,,,No,2017-02-20 15:19:40
12776,Melya,,,,Coffee / Tea,Non alcoholic,Coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",https://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Espresso,Honey,Cocoa powder,,,,,,,,,,,,,,Unsweetened ,,,,,,,,,,,,,,,,No,2015-09-03 03:32:59
11000,Mojito,,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild",,Cocktail,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,Light rum,Lime,Sugar,Mint,Soda water,,,,,,,,,,,2-3 oz ,Juice of 1 ,2 tsp ,2-4 ,,,,,,,,,,,,https://pixabay.com/photos/cocktail-mojito-cocktail-recipe-5096281/,anilaha https://pixabay.com/users/anilaha-16242978/,Yes,2016-11-04 09:17:09
17205,Mimosa,,"IBA,ContemporaryClassic",,Ordinary Drink,Alcoholic,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne,Orange juice,,,,,,,,,,,,,,Chilled ,2 oz ,,,,,,,,,,,,,,,,No,2017-09-02 17:44:45
11690,Mai Tai,,"IBA,ContemporaryClassic",,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Light rum,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,,,,,,,1 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 ,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Mai_Tai_(16304400706).jpg,Johnny Silvercloud https://www.flickr.com/people/116193477@N08,Yes,2015-08-18 15:17:50
11728,Martini,,,https://www.youtube.com/watch?v=ApMR3IWYZHI,Cocktail,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,,,No,2017-09-02 12:51:35
178343,Michelada,,"Hangover,StrongFlavor,Breakfast",,Cocktail,Alcoholic,Pint glass,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg,Beer,Tomato Juice,Lime Juice,Hot Sauce,Worcestershire Sauce,Soy Sauce,,,,,,,,,,4 oz,4 oz,1 tblsp,Dash,Dash,Dash,,,,,,,,,,,,No,
11008,Manhattan,,"IBA,Classic,Alcoholic",https://www.youtube.com/watch?v=TFWPtkNoF4Y,Cocktail,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,,,,,,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Oak_Fired_Manhattan_-_Stierch_1.jpg,Sarah Stierch (CC BY 4.0),Yes,2017-09-02 12:07:09
